Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
CENTROPOD @ CHANGI,80 Changi Road  #02-41 ,19,Strata,511300,26911,2500,11-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #01-32 ,11,Strata,432200,39291,3650,11-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #01-04 ,23,Strata,903700,39291,3650,11-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #02-53 ,12,Strata,329400,27450,2550,11-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #02-36 ,18,Strata,503800,27989,2600,11-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
GRANDLINK SQUARE,511 Guillemard Road  #01-59 ,18,Strata,700000,38889,3613,11-SEP-2012,Retail,Freehold,Resale,14,39,399849,Central Region,Geylang
TREASURES@G19,33 Lorong 19 Geylang  #01-02 ,31,Strata,1047250,33782,3138,02-JUL-2012,Retail,Freehold,Sub Sale,14,38,388502,Central Region,Geylang
TREASURES@G19,33 Lorong 19 Geylang  #01-04 ,31,Strata,1047250,33782,3138,02-JUL-2012,Retail,Freehold,Sub Sale,14,38,388502,Central Region,Geylang
TREASURES@G19,33 Lorong 19 Geylang  #01-03 ,31,Strata,1047250,33782,3138,02-JUL-2012,Retail,Freehold,Sub Sale,14,38,388502,Central Region,Geylang
LE REGAL,340 Geylang Road  #01-43 ,10,Strata,470000,47000,4366,04-JUL-2012,Retail,Freehold,Sub Sale,14,38,389365,Central Region,Geylang
ICON@CHANGI,228 Changi Road  #B1-12 ,17,Strata,635000,37353,3470,05-JUL-2012,Retail,Freehold,Sub Sale,14,41,419741,Central Region,Geylang
GRANDLINK SQUARE,511 Guillemard Road  #01-58 ,18,Strata,395000,21944,2039,12-JUL-2012,Retail,Freehold,Resale,14,39,399849,Central Region,Geylang
GRANDLINK SQUARE,511 Guillemard Road  #01-57 ,18,Strata,385000,21389,1987,12-JUL-2012,Retail,Freehold,Resale,14,39,399849,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #02-40 ,13,Strata,428000,32923,3059,18-JUL-2012,Retail,Freehold,Sub Sale,14,41,419715,Central Region,Geylang
WIS@CHANGI,116 Changi Road  #01-14 ,24,Strata,858624,35776,3324,24-JUL-2012,Retail,Freehold,New Sale,14,41,419718,Central Region,Geylang
N.A.,414 Geylang Road ,84,Strata,6000000,71429,6636,25-JUL-2012,Shop House,Freehold,Resale,14,38,389392,Central Region,Geylang
LE REGAL,340 Geylang Road  #01-24 ,15,Strata,582000,38800,3605,25-JUL-2012,Retail,Freehold,New Sale,14,38,389365,Central Region,Geylang
CITY PLAZA,810 Geylang Road  #03-28 ,21,Strata,1290000,61429,5707,24-MAY-2012,Retail,Freehold,Resale,14,40,409286,Central Region,Geylang
LE REGAL,340 Geylang Road  #01-25 ,15,Strata,582000,38800,3605,28-MAY-2012,Retail,Freehold,New Sale,14,38,389365,Central Region,Geylang
CITY PLAZA,810 Geylang Road  #02-07 ,22,Strata,780000,35455,3294,01-JUN-2012,Retail,Freehold,Resale,14,40,409286,Central Region,Geylang
WIS@CHANGI,116 Changi Road  #01-13 ,28,Strata,990000,35357,3285,11-JUN-2012,Retail,Freehold,New Sale,14,41,419718,Central Region,Geylang
N.A.,111/111A Jalan Kembangan ,180,Land,3000000,16667,1548,25-JUN-2012,Shop House,Freehold,Resale,14,41,419149,East Region,Bedok
CENTROPOD @ CHANGI,80 Changi Road  #02-06 ,17,Strata,547840,32226,2994,26-JUN-2012,Retail,Freehold,Sub Sale,14,41,419715,Central Region,Geylang
MILLAGE,55 Changi Road  #01-02 ,9,Strata,595000,66111,6142,27-JUN-2012,Retail,Freehold,Sub Sale,14,41,419709,Central Region,Geylang
GEYLANG CONSERVATION AREA,739 Geylang Road ,118,Land,3060000,25910,2407,09-MAY-2012,Shop House,Freehold,Resale,14,38,389649,Central Region,Geylang
MILLAGE,55 Changi Road  #02-24 ,12,Strata,670000,55833,5187,09-MAY-2012,Retail,Freehold,Sub Sale,14,41,419709,Central Region,Geylang
N.A.,591/591A Geylang Road ,203,Land,1900000,9350,869,11-MAY-2012,Shop House,Freehold,Resale,14,38,389530,Central Region,Geylang
MILLAGE,55 Changi Road  #01-18 ,15,Strata,1050000,70000,6503,14-MAY-2012,Retail,Freehold,Sub Sale,14,41,419709,Central Region,Geylang
LE REGAL,340 Geylang Road  #01-27 ,15,Strata,582000,38800,3605,05-MAY-2012,Retail,Freehold,New Sale,14,38,389365,Central Region,Geylang
WIS@CHANGI,116 Changi Road  #01-21 ,30,Strata,1022800,34093,3167,30-APR-2012,Retail,Freehold,New Sale,14,41,419718,Central Region,Geylang
MILLAGE,55 Changi Road  #02-25 ,25,Strata,885000,35400,3289,16-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #01-04 ,15,Strata,823000,54867,5097,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #01-19 ,15,Strata,915000,61000,5667,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-17 ,12,Strata,459000,38250,3554,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-08 ,16,Strata,699000,43688,4059,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #01-05 ,14,Strata,774000,55286,5136,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #01-03 ,10,Strata,580000,58000,5388,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-05 ,30,Strata,1172000,39067,3629,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-18 ,16,Strata,580000,36250,3368,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
